Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
        0   0.00000       17.2000       17.2000       8.00000       0.00000      0.612174E-04   0.00000      -54.0792      0.102139      0.135833       252.224       0.00000      -398.938       11.5500      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        1   1.00000       17.6765       17.5514       8.00000       0.00000      0.852238E-04   0.00000      -63.5812      0.721857E-01  0.106355       251.583       0.00000      -401.564       11.2512      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        2   2.00000       18.1682       17.8846       8.00000       0.00000      0.767514E-04   0.00000      -59.0289      0.402732E-01  0.489018E-01   199.793       0.00000      -404.286       10.9058      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        3   3.00000       18.5449       18.1338       8.00000       0.00000      0.626680E-04   0.00000      -53.0988      0.525564E-01  0.428992E-01   188.207       0.00000      -406.381       10.6494      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        4   4.00000       18.8987       18.3729       8.00000       0.00000      0.749264E-04   0.00000      -77.4500      0.269531E-01 -0.111781E-01   249.015       0.00000      -408.356       10.4355      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        5   5.00000       19.3335       18.6769       8.00000      0.168361      0.578581E-02   0.00000      -100.686       2.83581      -18.9112       248.775       0.00000      -410.794       10.2116      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        6   6.00000       23.9151       18.9391       8.00000      0.191374      0.651671E-02  0.872645E-02  -355.064      -48.7298      -181.541       282.575       0.00000      -437.144       4.32751      0.500000       5.00000       4.00000      0.873600       0.00000       0.00000       0.00000       0.00000    
        7   7.00000       23.3978       18.8084       7.80355      0.893157E-01  0.304459E-02  0.677765E-02  -267.573      -28.6809      -105.226       308.137       0.00000      -434.107       4.76881      0.501263       5.00000       4.00000      0.830695       0.00000       0.00000       0.00000       0.00000    
        8   8.00000       23.4964       18.8792       7.82047      0.144028      0.490864E-02  0.768380E-02  -303.958      -35.0853      -141.236       303.338       0.00000      -434.685       4.77479      0.502122       5.00000       4.00000      0.834391       0.00000       0.00000       0.00000       0.00000    
        9   9.00000       23.3894       18.8766       7.77103      0.128441      0.437836E-02  0.553004E-02  -185.555      -12.6293      -74.8156       234.065       0.00000      -434.058       4.91811      0.503223       5.00000       4.00000      0.823594       0.00000       0.00000       0.00000       0.00000    
       10   10.0000       23.5055       18.9615       7.79785      0.127479      0.434454E-02  0.700534E-02  -202.616      -23.6729      -87.9638       184.042       0.00000      -434.738       4.91812      0.503814       5.00000       4.00000      0.829450       0.00000       0.00000       0.00000       0.00000    
       11   11.0000       23.3561       18.9269       7.74305      0.634316E-01  0.216243E-02  0.714535E-02  -181.061      -25.1730      -67.6167       139.403       0.00000      -433.863       5.05865      0.504757       5.00000       4.00000      0.817482       0.00000       0.00000       0.00000       0.00000    
       12   12.0000       23.1174       18.8513       7.66383      0.119822      0.408677E-02  0.874798E-02  -240.960      -45.0576      -112.555       109.876       0.00000      -432.468       5.24580      0.505779       5.00000       4.00000      0.800180       0.00000       0.00000       0.00000       0.00000    
       13   13.0000       22.4953       18.6164       7.46906      0.114163      0.389865E-02  0.902651E-02  -251.455      -50.1785      -115.600       108.279       0.00000      -428.847       5.67385      0.507397       5.00000       4.00000      0.757643       0.00000       0.00000       0.00000       0.00000    
       14   14.0000       21.8719       18.3600       7.28065      0.251295      0.859241E-02  0.598313E-02  -237.770      -15.7672      -116.279       279.479       0.00000      -425.241       6.09253      0.509375       5.00000       4.00000      0.716495       0.00000       0.00000       0.00000       0.00000    
       15   15.0000       21.9784       18.4330       7.30744      0.188262      0.643579E-02   0.00000      -157.235       7.19274      -70.0878       269.670       0.00000      -425.856       6.09254      0.511446       5.00000       4.00000      0.722345       0.00000       0.00000       0.00000       0.00000    
       16   16.0000       23.0709       18.6320       7.30744      0.741821E-01  0.253038E-02   0.00000      -160.965      -5.67406      -42.9847       290.920       0.00000      -432.196       5.17633      0.510291       5.00000       4.00000      0.722345       0.00000       0.00000       0.00000       0.00000    
       17   17.0000       23.7019       18.8622       7.30744      0.870034E-01  0.296394E-02  0.254993E-02  -172.896      -10.6739      -45.7695       284.156       0.00000      -435.891       4.86654      0.510158       5.00000       4.00000      0.722345       0.00000       0.00000       0.00000       0.00000    
       18   18.0000       23.9580       19.0590       7.36809      0.108086      0.368026E-02  0.371465E-02  -164.170      -5.95483      -55.2413       253.924       0.00000      -437.397       4.86655      0.510322       5.00000       4.00000      0.735591       0.00000       0.00000       0.00000       0.00000    
       19   19.0000       24.1663       19.2176       7.41637      0.639651E-01  0.217705E-02   0.00000      -149.809      -2.82407      -34.6908       288.657       0.00000      -438.625       4.86655      0.510577       5.00000       4.00000      0.746134       0.00000       0.00000       0.00000       0.00000    
       20   20.0000       24.8688       19.4635       7.41637      0.105463      0.358432E-02  0.439947E-02  -178.944      -7.63130      -58.6648       274.247       0.00000      -442.785       4.54260      0.510491       5.00000       4.00000      0.746134       0.00000       0.00000       0.00000       0.00000    
       21   21.0000       25.0958       19.6319       7.46518      0.116881      0.397053E-02  0.595910E-02  -185.423      -11.6146      -71.9366       225.868       0.00000      -444.136       4.54261      0.510809       5.00000       4.00000      0.756794       0.00000       0.00000       0.00000       0.00000    
       22   22.0000       25.1996       19.7026       7.48214      0.121146      0.411454E-02  0.631746E-02  -171.140      -11.7507      -69.4964       181.994       0.00000      -444.754       4.54262      0.511387       5.00000       4.00000      0.760500       0.00000       0.00000       0.00000       0.00000    
       23   23.0000       25.1869       19.7206       7.46929      0.110056      0.373800E-02  0.605480E-02  -157.198      -8.22238      -63.7130       171.595       0.00000      -444.678       4.59059      0.512033       5.00000       4.00000      0.757694       0.00000       0.00000       0.00000       0.00000    
       24   24.0000       25.1978       19.7449       7.46391      0.135971      0.461809E-02  0.638632E-02  -235.822      -13.5692      -101.764       290.838       0.00000      -444.743       4.62216      0.512633       5.00000       4.00000      0.756518       0.00000       0.00000       0.00000       0.00000    
       25   25.0000       25.3372       19.8415       7.48761      0.114713      0.389498E-02  0.739078E-02  -274.016      -23.1882      -122.036       292.602       0.00000      -445.575       4.62217      0.513305       5.00000       4.00000      0.761693       0.00000       0.00000       0.00000       0.00000    
       26   26.0000       25.3255       19.8733       7.47099      0.122779      0.416892E-02  0.729577E-02  -243.755      -19.0185      -111.897       247.106       0.00000      -445.505       4.69075      0.514199       5.00000       4.00000      0.758063       0.00000       0.00000       0.00000       0.00000    
       27   27.0000       25.2544       19.8779       7.44192      0.218768      0.742931E-02  0.102535E-01  -441.019      -66.1030      -237.771       283.449       0.00000      -445.081       4.78170      0.515084       5.00000       4.00000      0.751715       0.00000       0.00000       0.00000       0.00000    
       28   28.0000       24.3838       19.5959       7.20275      0.114658      0.390066E-02  0.802370E-02  -305.567      -34.4416      -136.898       291.972       0.00000      -439.909       5.32277      0.516873       5.00000       4.00000      0.699481       0.00000       0.00000       0.00000       0.00000    
       29   29.0000       24.2445       19.5704       7.16209      0.158616      0.539765E-02  0.778986E-02  -257.874      -21.4684      -131.071       232.362       0.00000      -439.086       5.45096      0.518165       5.00000       4.00000      0.690600       0.00000       0.00000       0.00000       0.00000    
       30   30.0000       24.0735       19.5237       7.11672      0.126384      0.430228E-02  0.547241E-02  -213.876      -7.69964      -94.9788       274.886       0.00000      -438.077       5.58379      0.519431       5.00000       4.00000      0.680691       0.00000       0.00000       0.00000       0.00000    
       31   31.0000       24.2172       19.6312       7.14668      0.179634      0.611322E-02  0.634039E-02  -213.166      -10.9647      -98.8049       241.578       0.00000      -438.925       5.58380      0.520082       5.00000       4.00000      0.687235       0.00000       0.00000       0.00000       0.00000    
       32   32.0000       24.2815       19.6806       7.15855      0.835638E-01  0.284343E-02  0.697976E-02  -250.262      -27.4448      -91.3991       269.354       0.00000      -439.305       5.59266      0.520950       5.00000       4.00000      0.689826       0.00000       0.00000       0.00000       0.00000    
       33   33.0000       24.2989       19.7133       7.15925      0.111085      0.377977E-02  0.747644E-02  -279.433      -28.2674      -120.167       287.244       0.00000      -439.408       5.63025      0.522000       5.00000       4.00000      0.689981       0.00000       0.00000       0.00000       0.00000    
       34   34.0000       24.2643       19.7260       7.14833      0.755945E-01  0.257235E-02  0.663639E-02  -210.080      -17.8096      -81.2819       223.361       0.00000      -439.204       5.69678      0.523216       5.00000       4.00000      0.687595       0.00000       0.00000       0.00000       0.00000    
       35   35.0000       24.2689       19.7484       7.14744      0.129247      0.439801E-02  0.861959E-02  -282.426      -37.7395      -131.521       215.173       0.00000      -439.231       5.73250      0.524192       5.00000       4.00000      0.687401       0.00000       0.00000       0.00000       0.00000    
       36   36.0000       23.9400       19.6274       7.07467      0.134071      0.456521E-02  0.717927E-02  -238.240      -24.2401      -101.417       238.181       0.00000      -437.291       5.93354      0.525854       5.00000       4.00000      0.671508       0.00000       0.00000       0.00000       0.00000    
       37   37.0000       23.8896       19.6261       7.06342      0.138093      0.470264E-02  0.567455E-02  -222.456      -11.3816      -95.1312       275.474       0.00000      -436.994       5.99762      0.527088       5.00000       4.00000      0.669051       0.00000       0.00000       0.00000       0.00000    
       38   38.0000       24.0148       19.7193       7.08782      0.115750      0.394077E-02  0.628710E-02  -205.530      -11.4485      -90.5107       228.935       0.00000      -437.731       5.99763      0.527875       5.00000       4.00000      0.674381       0.00000       0.00000       0.00000       0.00000    
