"",32.500
150.0000,0.0000E+000
151.0000,-3.8524E+000
152.0000,-2.3696E+001
153.0000,-6.0541E+001
154.0000,-8.4011E+001
155.0000,-5.5686E+001
156.0000,-2.9605E+001
157.0000,-6.3959E+001
158.0000,-4.2179E+001
159.0000,-2.3591E+001
160.0000,-8.5809E+001
161.0000,-6.6355E+001
162.0000,-8.1348E+000
163.0000,-1.2662E+001
164.0000,-1.2389E+001
165.0000,-7.0642E+001
166.0000,-4.6906E+001
167.0000,-3.2241E+001
168.0000,4.2876E+000
169.0000,-8.0256E+000
170.0000,-6.0708E+001
171.0000,-8.5767E+001
172.0000,-5.4581E+001
173.0000,-3.2574E+001
174.0000,-5.3627E+001
175.0000,-6.6084E+001
176.0000,-8.5824E+001
177.0000,-5.8920E+001
178.0000,-3.5851E+001
179.0000,-2.4749E+001
180.0000,-9.2116E+001
181.0000,-1.0600E+002
182.0000,-7.7335E+001
183.0000,-6.6157E+001
184.0000,-6.3552E+001
185.0000,-9.9367E+001
186.0000,-1.1843E+002
187.0000,-1.0764E+002
188.0000,-7.2717E+001
189.0000,-9.4946E+001
190.0000,-1.0318E+002
191.0000,-9.2772E+001
192.0000,-7.9493E+001
193.0000,-1.0822E+002
194.0000,-7.8368E+001
195.0000,-7.2767E+001
196.0000,-9.1635E+001
197.0000,-8.8282E+001
198.0000,-1.2040E+002
199.0000,-1.3537E+002
200.0000,-1.5631E+002
201.0000,-9.2319E+001
202.0000,-1.1757E+002
203.0000,-1.3161E+002
204.0000,-1.0537E+002
205.0000,-1.3360E+002
206.0000,-8.3798E+001
207.0000,-9.1580E+001
208.0000,-1.0544E+002
209.0000,-1.2508E+002
210.0000,-1.3670E+002
211.0000,-1.1879E+002
212.0000,-5.7904E+001
213.0000,-6.2899E+001
214.0000,-9.4889E+001
215.0000,-1.0253E+002
216.0000,-1.5329E+002
217.0000,-1.4218E+002
218.0000,-1.0400E+002
219.0000,-1.8336E+002
220.0000,-1.4335E+002
221.0000,-1.4047E+002
222.0000,-1.8594E+002
223.0000,-1.9757E+002
224.0000,-1.6163E+002
225.0000,-1.1948E+002
226.0000,-8.4545E+001
227.0000,-9.9316E+001
228.0000,-7.0928E+001
229.0000,-7.8349E+001
230.0000,-6.2395E+001
231.0000,-9.1750E+001
232.0000,-1.3180E+002
233.0000,-9.7820E+001
234.0000,-1.1276E+002
235.0000,-1.0958E+002
236.0000,-7.8500E+001
237.0000,-9.5414E+001
238.0000,-1.5492E+002
239.0000,-6.8349E+001
240.0000,-5.9220E+001
241.0000,-8.0630E+001
