"",32.500
150.0000,0.0000E+000
151.0000,-4.0045E+002
152.0000,-4.0265E+002
153.0000,-3.9914E+002
154.0000,-3.9273E+002
155.0000,-3.8953E+002
156.0000,-3.9278E+002
157.0000,-3.9283E+002
158.0000,-3.8932E+002
159.0000,-3.8846E+002
160.0000,-3.8509E+002
161.0000,-3.7726E+002
162.0000,-3.7775E+002
163.0000,-3.8469E+002
164.0000,-3.9088E+002
165.0000,-3.9287E+002
166.0000,-3.9211E+002
167.0000,-3.9447E+002
168.0000,-4.0217E+002
169.0000,-4.1218E+002
170.0000,-4.1498E+002
171.0000,-4.1529E+002
172.0000,-4.1694E+002
173.0000,-4.2051E+002
174.0000,-4.2340E+002
175.0000,-4.2602E+002
176.0000,-4.2402E+002
177.0000,-4.1744E+002
178.0000,-4.1352E+002
179.0000,-4.1615E+002
180.0000,-4.1890E+002
181.0000,-4.1892E+002
182.0000,-4.1927E+002
183.0000,-4.2124E+002
184.0000,-4.2570E+002
185.0000,-4.2826E+002
186.0000,-4.2845E+002
187.0000,-4.2873E+002
188.0000,-4.3159E+002
189.0000,-4.3546E+002
190.0000,-4.3717E+002
191.0000,-4.3756E+002
192.0000,-4.3773E+002
193.0000,-4.3708E+002
194.0000,-4.3910E+002
195.0000,-4.4327E+002
196.0000,-4.4709E+002
197.0000,-4.5122E+002
198.0000,-4.5351E+002
199.0000,-4.5280E+002
200.0000,-4.4592E+002
201.0000,-4.4997E+002
202.0000,-4.4752E+002
203.0000,-4.3875E+002
204.0000,-4.2920E+002
205.0000,-4.4023E+002
206.0000,-4.4117E+002
207.0000,-4.4312E+002
208.0000,-4.4325E+002
209.0000,-4.4188E+002
210.0000,-4.4041E+002
211.0000,-4.3984E+002
212.0000,-4.4149E+002
213.0000,-4.4592E+002
214.0000,-4.4858E+002
215.0000,-4.4794E+002
216.0000,-4.4082E+002
217.0000,-4.3780E+002
218.0000,-4.3422E+002
219.0000,-4.3718E+002
220.0000,-4.3364E+002
221.0000,-4.3114E+002
222.0000,-4.2729E+002
223.0000,-4.2350E+002
224.0000,-4.1978E+002
225.0000,-4.1847E+002
226.0000,-4.1976E+002
227.0000,-4.2089E+002
228.0000,-4.2218E+002
229.0000,-4.2432E+002
230.0000,-4.2639E+002
231.0000,-4.2654E+002
232.0000,-4.2473E+002
233.0000,-4.2377E+002
234.0000,-4.2364E+002
235.0000,-4.2257E+002
236.0000,-4.1330E+002
237.0000,-4.1848E+002
238.0000,-4.1816E+002
239.0000,-4.1466E+002
240.0000,-4.1604E+002
241.0000,-4.1592E+002
242.0000,-4.1531E+002
243.0000,-4.1368E+002
244.0000,-4.1133E+002
245.0000,-4.0725E+002
246.0000,-4.0572E+002
247.0000,-4.0660E+002
248.0000,-4.0726E+002
249.0000,-4.0797E+002
250.0000,-4.0930E+002
251.0000,-4.1009E+002
252.0000,-4.0876E+002
253.0000,-4.0656E+002
254.0000,-4.0578E+002
255.0000,-4.0105E+002
256.0000,-4.0353E+002
257.0000,-4.0437E+002
258.0000,-4.0568E+002
259.0000,-4.0708E+002
260.0000,-4.0834E+002
261.0000,-4.0896E+002
262.0000,-4.0759E+002
263.0000,-4.0562E+002
264.0000,-4.0055E+002
265.0000,-3.9826E+002
266.0000,-4.0302E+002
267.0000,-4.0290E+002
268.0000,-4.0211E+002
269.0000,-4.0127E+002
270.0000,-4.0050E+002
271.0000,-3.9908E+002
272.0000,-3.9747E+002
273.0000,-3.9605E+002
274.0000,-3.9473E+002
275.0000,-3.9433E+002
276.0000,-3.9501E+002
277.0000,-3.9436E+002
278.0000,-3.9271E+002
279.0000,-3.8513E+002
280.0000,-3.7750E+002
281.0000,-3.8572E+002
282.0000,-3.8724E+002
283.0000,-3.8940E+002
284.0000,-3.8920E+002
285.0000,-3.8841E+002
286.0000,-3.8670E+002
287.0000,-3.8489E+002
288.0000,-3.8369E+002
289.0000,-3.8237E+002
290.0000,-3.8141E+002
291.0000,-3.8128E+002
292.0000,-3.8089E+002
293.0000,-3.7826E+002
294.0000,-3.7573E+002
295.0000,-3.7510E+002
296.0000,-3.6825E+002
297.0000,-3.7196E+002
298.0000,-3.7098E+002
299.0000,-3.6922E+002
300.0000,-3.6768E+002
301.0000,-3.6543E+002
302.0000,-3.6302E+002
303.0000,-3.6208E+002
304.0000,-3.6217E+002
305.0000,-3.6179E+002
306.0000,-3.5827E+002
307.0000,-3.5854E+002
308.0000,-3.5428E+002
309.0000,-3.5750E+002
310.0000,-3.5694E+002
311.0000,-3.5687E+002
312.0000,-3.5762E+002
313.0000,-3.5750E+002
314.0000,-3.5710E+002
315.0000,-3.5735E+002
316.0000,-3.5764E+002
317.0000,-3.5777E+002
318.0000,-3.5793E+002
319.0000,-3.5859E+002
320.0000,-3.5944E+002
321.0000,-3.5900E+002
322.0000,-3.5798E+002
323.0000,-3.5051E+002
324.0000,-3.5542E+002
325.0000,-3.5385E+002
326.0000,-3.5261E+002
327.0000,-3.5125E+002
328.0000,-3.4982E+002
329.0000,-3.4887E+002
330.0000,-3.4853E+002
331.0000,-3.4823E+002
332.0000,-3.4779E+002
333.0000,-3.4800E+002
334.0000,-3.4887E+002
335.0000,-3.4749E+002
336.0000,-3.4632E+002
337.0000,-3.4437E+002
338.0000,-3.4249E+002
339.0000,-3.4194E+002
340.0000,-3.4075E+002
341.0000,-3.3877E+002
342.0000,-3.3641E+002
343.0000,-3.3521E+002
344.0000,-3.3427E+002
345.0000,-3.3331E+002
346.0000,-3.3258E+002
347.0000,-3.3212E+002
348.0000,-3.3197E+002
349.0000,-3.3170E+002
350.0000,-3.3123E+002
351.0000,-3.3083E+002
352.0000,-3.3011E+002
353.0000,-3.2912E+002
354.0000,-3.2819E+002
355.0000,-3.2738E+002
356.0000,-3.2694E+002
357.0000,-3.2642E+002
358.0000,-3.2589E+002
359.0000,-3.2567E+002
360.0000,-3.2515E+002
361.0000,-3.2443E+002
362.0000,-3.2326E+002
363.0000,-3.2223E+002
364.0000,-3.2134E+002
365.0000,-3.2093E+002
366.0000,-3.2044E+002
367.0000,-3.1972E+002
368.0000,-3.1933E+002
369.0000,-3.1970E+002
370.0000,-3.2084E+002
371.0000,-3.2133E+002
372.0000,-3.2126E+002
373.0000,-3.2089E+002
374.0000,-3.1987E+002
375.0000,-3.1855E+002
376.0000,-3.1801E+002
377.0000,-3.1788E+002
378.0000,-3.1766E+002
379.0000,-3.1737E+002
380.0000,-3.1648E+002
381.0000,-3.1437E+002
382.0000,-3.1294E+002
383.0000,-3.1255E+002
384.0000,-3.1132E+002
385.0000,-3.0898E+002
386.0000,-3.0753E+002
387.0000,-3.0687E+002
388.0000,-3.0639E+002
389.0000,-3.0628E+002
390.0000,-3.0619E+002
391.0000,-3.0607E+002
392.0000,-3.0608E+002
393.0000,-3.0615E+002
394.0000,-3.0616E+002
395.0000,-3.0598E+002
396.0000,-3.0615E+002
397.0000,-3.0611E+002
398.0000,-3.0607E+002
399.0000,-3.0593E+002
400.0000,-3.0617E+002
401.0000,-3.0590E+002
402.0000,-3.0616E+002
403.0000,-3.0616E+002
404.0000,-3.0610E+002
405.0000,-3.0588E+002
406.0000,-3.0622E+002
407.0000,-3.0616E+002
408.0000,-3.0615E+002
409.0000,-3.0615E+002
410.0000,-3.0617E+002
411.0000,-3.0616E+002
412.0000,-3.0598E+002
413.0000,-3.0616E+002
414.0000,-3.0616E+002
415.0000,-3.0625E+002
416.0000,-3.0636E+002
417.0000,-3.0657E+002
418.0000,-3.0621E+002
419.0000,-3.0617E+002
420.0000,-3.0631E+002
421.0000,-3.0626E+002
422.0000,-3.0632E+002
423.0000,-3.0658E+002
424.0000,-3.0688E+002
425.0000,-3.0696E+002
426.0000,-3.0713E+002
427.0000,-3.0734E+002
428.0000,-3.0697E+002
429.0000,-3.0616E+002
430.0000,-3.0620E+002
431.0000,-3.0621E+002
432.0000,-3.0613E+002
433.0000,-3.0640E+002
434.0000,-3.0709E+002
435.0000,-3.0783E+002
436.0000,-3.0855E+002
437.0000,-3.0988E+002
438.0000,-3.1125E+002
439.0000,-3.1179E+002
440.0000,-3.1148E+002
441.0000,-3.1066E+002
442.0000,-3.1041E+002
443.0000,-3.1055E+002
444.0000,-3.1063E+002
445.0000,-3.1222E+002
446.0000,-3.1471E+002
447.0000,-3.1568E+002
448.0000,-3.1777E+002
449.0000,-3.1668E+002
450.0000,-3.1756E+002
451.0000,-3.1842E+002
452.0000,-3.1869E+002
453.0000,-3.1870E+002
454.0000,-3.1924E+002
455.0000,-3.2101E+002
456.0000,-3.2200E+002
457.0000,-3.2169E+002
458.0000,-3.2203E+002
459.0000,-3.2196E+002
460.0000,-3.2207E+002
461.0000,-3.2244E+002
462.0000,-3.2233E+002
463.0000,-3.2235E+002
464.0000,-3.2258E+002
465.0000,-3.2376E+002
466.0000,-3.2414E+002
467.0000,-3.2407E+002
468.0000,-3.2480E+002
469.0000,-3.2523E+002
470.0000,-3.2539E+002
471.0000,-3.2555E+002
472.0000,-3.2597E+002
473.0000,-3.2730E+002
474.0000,-3.2886E+002
475.0000,-3.3040E+002
476.0000,-3.3226E+002
477.0000,-3.3435E+002
478.0000,-3.3622E+002
479.0000,-3.3747E+002
480.0000,-3.3925E+002
481.0000,-3.4014E+002
482.0000,-3.4107E+002
483.0000,-3.4267E+002
484.0000,-3.4319E+002
485.0000,-3.4415E+002
486.0000,-3.4523E+002
487.0000,-3.4594E+002
488.0000,-3.4669E+002
489.0000,-3.4763E+002
490.0000,-3.4862E+002
491.0000,-3.5031E+002
492.0000,-3.5247E+002
493.0000,-3.5647E+002
494.0000,-3.6508E+002
495.0000,-3.7257E+002
496.0000,-3.7456E+002
497.0000,-3.7020E+002
498.0000,-3.6736E+002
499.0000,-3.6893E+002
500.0000,-3.7240E+002
501.0000,-3.7514E+002
502.0000,-3.7451E+002
503.0000,-3.7224E+002
504.0000,-3.7097E+002
505.0000,-3.7015E+002
506.0000,-3.7132E+002
507.0000,-3.7447E+002
508.0000,-3.8069E+002
509.0000,-3.8913E+002
510.0000,-3.9156E+002
511.0000,-3.9034E+002
512.0000,-3.9147E+002
513.0000,-3.9066E+002
514.0000,-3.9076E+002
515.0000,-3.9234E+002
516.0000,-3.9693E+002
517.0000,-4.0291E+002
518.0000,-4.0598E+002
519.0000,-4.0093E+002
520.0000,-3.9905E+002
521.0000,-3.9860E+002
522.0000,-3.9702E+002
523.0000,-4.0022E+002
524.0000,-4.0558E+002
525.0000,-4.0971E+002
526.0000,-4.1261E+002
527.0000,-4.1532E+002
528.0000,-4.1570E+002
529.0000,-4.1485E+002
530.0000,-4.1735E+002
531.0000,-4.2133E+002
532.0000,-4.2298E+002
533.0000,-4.2211E+002
534.0000,-4.2229E+002
535.0000,-4.2163E+002
536.0000,-4.1865E+002
537.0000,-4.1154E+002
538.0000,-4.0290E+002
539.0000,-4.0101E+002
540.0000,-4.0483E+002
541.0000,-4.1265E+002
542.0000,-4.2041E+002
543.0000,-4.2278E+002
544.0000,-4.1959E+002
545.0000,-4.1606E+002
546.0000,-4.1284E+002
547.0000,-4.0942E+002
548.0000,-4.0881E+002
549.0000,-4.0897E+002
550.0000,-4.1006E+002
551.0000,-4.1250E+002
552.0000,-4.1365E+002
553.0000,-4.1602E+002
554.0000,-4.1832E+002
555.0000,-4.2450E+002
556.0000,-4.3067E+002
557.0000,-4.3015E+002
558.0000,-4.2770E+002
559.0000,-4.2619E+002
560.0000,-4.2568E+002
561.0000,-4.2617E+002
562.0000,-4.2864E+002
563.0000,-4.2987E+002
564.0000,-4.2996E+002
565.0000,-4.2966E+002
566.0000,-4.2795E+002
567.0000,-4.2715E+002
568.0000,-4.2580E+002
569.0000,-4.2693E+002
570.0000,-4.3162E+002
571.0000,-4.3625E+002
572.0000,-4.4031E+002
573.0000,-4.4104E+002
574.0000,-4.4127E+002
575.0000,-4.4336E+002
576.0000,-4.4509E+002
577.0000,-4.4695E+002
578.0000,-4.5051E+002
579.0000,-4.5270E+002
580.0000,-4.5040E+002
581.0000,-4.4574E+002
582.0000,-4.3122E+002
583.0000,-4.4011E+002
584.0000,-4.3990E+002
585.0000,-4.3715E+002
586.0000,-4.3096E+002
587.0000,-4.1539E+002
588.0000,-4.2960E+002
589.0000,-4.3449E+002
