"",32.500
150.0000,0.0000E+000
151.0000,1.4603E+002
152.0000,6.2919E+001
153.0000,4.8939E+001
154.0000,5.9260E+001
155.0000,1.1142E+002
156.0000,1.7438E+002
157.0000,5.2135E+001
158.0000,5.5167E+001
159.0000,4.8608E+001
160.0000,6.0339E+001
161.0000,7.2017E+001
162.0000,1.8863E+002
163.0000,1.6602E+002
164.0000,1.2476E+002
165.0000,1.7558E+002
166.0000,1.9024E+002
167.0000,1.1983E+002
168.0000,2.0258E+002
169.0000,1.8502E+002
170.0000,1.7361E+002
171.0000,1.9490E+002
172.0000,1.5407E+002
173.0000,1.2979E+002
174.0000,1.2859E+002
175.0000,1.8614E+002
176.0000,8.1967E+001
177.0000,1.8819E+002
178.0000,1.1717E+002
179.0000,1.3510E+002
180.0000,1.7975E+002
181.0000,1.9650E+002
182.0000,1.8141E+002
183.0000,2.1399E+002
184.0000,1.7567E+002
185.0000,1.9825E+002
186.0000,1.8802E+002
187.0000,1.9208E+002
188.0000,2.0672E+002
189.0000,2.0793E+002
190.0000,1.6438E+002
191.0000,1.5640E+002
192.0000,1.2706E+002
193.0000,1.5200E+002
194.0000,2.0698E+002
195.0000,1.7505E+002
196.0000,1.9642E+002
197.0000,2.0188E+002
198.0000,1.8846E+002
199.0000,2.0807E+002
200.0000,1.9309E+002
201.0000,1.4926E+002
202.0000,9.7321E+001
203.0000,8.6984E+001
204.0000,1.8979E+002
205.0000,1.9658E+002
206.0000,1.5471E+002
207.0000,1.6290E+002
208.0000,1.3788E+002
209.0000,1.7099E+002
210.0000,1.9665E+002
211.0000,1.9391E+002
212.0000,1.3443E+002
213.0000,1.7779E+002
214.0000,1.5576E+002
215.0000,1.2215E+002
216.0000,1.8400E+002
217.0000,1.8115E+002
218.0000,1.1664E+002
219.0000,1.8711E+002
220.0000,1.9257E+002
221.0000,1.5174E+002
222.0000,1.9592E+002
223.0000,1.9200E+002
224.0000,1.8073E+002
225.0000,1.8335E+002
226.0000,1.8178E+002
227.0000,1.5842E+002
228.0000,1.8746E+002
229.0000,1.7164E+002
230.0000,1.4606E+002
231.0000,1.0954E+002
232.0000,1.5766E+002
233.0000,1.7492E+002
234.0000,1.6746E+002
235.0000,1.5760E+002
236.0000,1.4189E+002
237.0000,1.3288E+002
238.0000,5.1670E+001
