wind_speed,swr,c_relax_C,par_id
1.2739,1.313,0.0041945,p0001
0.7624,1.1849,0.0076969,p0002
1.2913,1.2407,0.0069296,p0003
0.93768,1.293,0.0062782,p0004
0.84179,0.9897,0.0050755,p0005
1.2508,1.1032,0.0037336,p0006
1.3013,1.3096,0.007635,p0007
0.76143,1.3215,0.002748,p0008
1.281,1.2384,0.0024359,p0009
1.2529,0.98089,0.0048109,p0010
1.2757,1.0438,0.0041472,p0011
0.77863,1.0569,0.0077334,p0012
0.82206,1.1185,0.0059509,p0013
1.1798,1.0904,0.003767,p0014
0.81263,0.95312,0.0058757,p0015
1.2071,1.2484,0.0073725,p0016
1.0715,1.3352,0.0077648,p0017
1.2867,1.145,0.003752,p0018
1.1005,1.0864,0.0034407,p0019
0.81514,1.1655,0.0023206,p0020
1.1713,1.0284,0.0037896,p0021
0.77087,0.95772,0.0070484,p0022
0.8463,1.2976,0.0039828,p0023
0.8306,1.3304,0.0044184,p0024
0.983,0.99578,0.0068935,p0025
1.409,0.99686,0.0072135,p0026
1.0033,1.0636,0.0043136,p0027
1.2716,1.1025,0.0048027,p0028
0.83557,1.0932,0.004747,p0029
1.3273,1.1222,0.0031171,p0030
0.92721,1.2709,0.0078365,p0031
1.2901,1.0518,0.0026963,p0032
0.96537,1.0303,0.0054856,p0033
1.17,1.0678,0.0047898,p0034
1.1111,1.2079,0.0055775,p0035
0.93617,1.1486,0.0053976,p0036
1.3374,1.1728,0.0030827,p0037
1.1781,1.1225,0.0057781,p0038
1.376,1.0699,0.0067047,p0039
1.3197,1.2987,0.0073662,p0040
1.0443,1.0413,0.0023384,p0041
0.76866,1.2015,0.0072256,p0042
1.363,0.95971,0.0047338,p0043
1.0477,1.295,0.0054391,p0044
0.90214,1.1976,0.0040559,p0045
1.3574,1.2326,0.0069396,p0046
1.2117,1.2243,0.0077458,p0047
1.1857,1.0814,0.0058707,p0048
1.1182,1.2142,0.0070615,p0049
0.7857,1.0603,0.0028636,p0050
0.85489,1.2373,0.0046872,p0051
1.3181,1.1876,0.0060701,p0052
0.8685,1.1815,0.005089,p0053
1.4029,1.0401,0.004134,p0054
1.3061,0.97005,0.0043917,p0055
0.78236,1.2583,0.0048996,p0056
1.2486,1.3049,0.0044802,p0057
1.237,1.0047,0.003663,p0058
0.83299,1.1697,0.0050452,p0059
1.3975,1.1835,0.0052585,p0060
1.2833,1.1093,0.0042478,p0061
0.85151,1.2961,0.0038548,p0062
0.91314,0.95224,0.0039969,p0063
0.97289,1.348,0.0056547,p0064
1.0003,1.1773,0.0023851,p0065
1.1401,0.99164,0.0067735,p0066
1.1972,1.3011,0.0056081,p0067
1.3505,0.9765,0.0029386,p0068
1.024,1.1451,0.0074221,p0069
1.3853,1.0821,0.0062449,p0070
1.0307,1.0012,0.0074922,p0071
0.90359,1.0988,0.0056142,p0072
1.1318,0.99934,0.0060605,p0073
0.94119,1.1595,0.0074494,p0074
0.94797,1.2695,0.0041658,p0075
1.1515,1.0713,0.0028247,p0076
1.2687,1.1916,0.0023692,p0077
0.92858,1.0655,0.003064,p0078
1.378,1.2502,0.0067493,p0079
1.1034,1.2696,0.0074607,p0080
0.96428,1.0775,0.0071743,p0081
1.24,1.0579,0.0048795,p0082
1.2112,1.2042,0.0073361,p0083
1.0046,0.97749,0.0049908,p0084
1.0889,1.1268,0.0069996,p0085
1.1765,0.96323,0.0040476,p0086
1.2712,1.2995,0.0068244,p0087
1.334,1.2757,0.003415,p0088
0.82441,1.2527,0.005,p0089
0.97793,1.2434,0.0070688,p0090
1.0846,0.9977,0.0046014,p0091
0.75767,1.3069,0.0031989,p0092
1.1502,1.1594,0.0076231,p0093
1.1273,1.3298,0.0053544,p0094
0.8763,1.2269,0.0046353,p0095
1.2251,1.1421,0.0056747,p0096
1.1675,1.3169,0.0029817,p0097
1.3266,0.95682,0.0063539,p0098
0.97521,1.1982,0.0024112,p0099
0.82597,0.96875,0.0029259,p0100
1.0199,1.2085,0.0039227,p0101
0.94354,1.2674,0.004026,p0102
1.2237,1.2382,0.007757,p0103
0.802,1.1616,0.0048378,p0104
0.83438,1.1842,0.0025559,p0105
1.1669,1.0179,0.0064012,p0106
0.80055,0.95688,0.0063892,p0107
1.0498,1.2424,0.0075973,p0108
0.98657,1.261,0.0064632,p0109
1.2896,1.0118,0.0074866,p0110
1.3031,1.2897,0.0061296,p0111
1.3365,1.2843,0.0065657,p0112
1.2226,1.0162,0.0078053,p0113
1.0619,1.0236,0.0028963,p0114
1.1304,1.2031,0.0056812,p0115
1.065,1.1429,0.0054326,p0116
0.93948,1.0112,0.0046657,p0117
1.0266,1.1309,0.0072418,p0118
1.0875,1.2059,0.0022058,p0119
1.3674,1.1526,0.0041895,p0120
0.88494,1.3201,0.0051895,p0121
0.80583,1.1327,0.0036954,p0122
1.1461,1.2962,0.0061661,p0123
0.8824,1.1734,0.0061815,p0124
1.0925,1.2853,0.0043386,p0125
1.3006,1.3492,0.0063717,p0126
0.997,1.3271,0.0052386,p0127
0.77986,1.339,0.0035818,p0128
0.95182,1.3187,0.0052048,p0129
0.99216,0.97447,0.0055754,p0130
1.3829,1.0326,0.0059612,p0131
0.98111,1.2125,0.007296,p0132
1.0514,1.0486,0.004647,p0133
1.0163,1.3455,0.0062157,p0134
1.3715,1.3064,0.0036185,p0135
1.3769,1.0505,0.0044404,p0136
1.1209,1.2906,0.002661,p0137
1.1689,1.1392,0.0073469,p0138
1.3879,1.0355,0.0074406,p0139
1.4036,1.014,0.0061085,p0140
0.9681,1.0098,0.0026923,p0141
1.0019,1.2211,0.0076517,p0142
1.3051,1.1577,0.0048629,p0143
0.75893,1.0038,0.0046525,p0144
1.208,1.2731,0.0033481,p0145
1.103,1.0296,0.0049393,p0146
1.2194,1.0694,0.0045887,p0147
0.85746,1.165,0.0032115,p0148
1.1331,1.1534,0.0061477,p0149
